date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:42:11	9089/9089	---M--	200	added ('OK')	image/jpeg	etag:%225f878561-2381%22	https://archive.org/services/img/nlaweb	C:/My%20Web%20Sites/ArtOfWA/archive.org/images/nlaweb	(from https://web.archive.org/web/20210303003404/http://artofwa.com.au/)
16:42:11	11428/11428	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22609ac8c2-2ca4%22	http://archive.org/ext/build/npm/flot/jquery.flot.time.js?v1.1	C:/My%20Web%20Sites/ArtOfWA/archive.org/images/jquery.flot.time141f.js	(from https://archive.org/details/nlaweb)
16:42:11	7090/7090	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22609ac8c2-1bb2%22	http://archive.org/ext/build/npm/flot/jquery.flot.stack.js?v1.1	C:/My%20Web%20Sites/ArtOfWA/archive.org/images/jquery.flot.stack141f.js	(from https://archive.org/details/nlaweb)
16:42:12	64963/64963	---MCZ	200	added ('OK')	text/xml	date:Wed,%2012%20May%202021%2006:42:14%20GMT	http://archive.org/services/collection-rss.php?collection=nlaweb	C:/My%20Web%20Sites/ArtOfWA/archive.org/images/collection-rss4441.php	(from https://archive.org/details/nlaweb)
16:42:12	30974/30974	---M--	200	added ('OK')	application/octet-stream	etag:%225898faa0-78fe%22	https://ia800303.us.archive.org/5/items/nlaweb/history/files/ausflagani.gif.~1~	C:/My%20Web%20Sites/ArtOfWA/ia800303.us.archive.org/images/ausflagani.gif._1_	(from https://archive.org/details/nlaweb)
16:42:14	370049/370049	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20May%202021%2006:42:16%20GMT	https://archive.org/details/nlaweb?tab=collection	C:/My%20Web%20Sites/ArtOfWA/archive.org/nlaweb741a.html	(from https://archive.org/details/nlaweb)
16:42:15	92133/92133	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20May%202021%2006:42:17%20GMT	https://archive.org/details/nlaweb&morf=-subject	C:/My%20Web%20Sites/ArtOfWA/archive.org/nlaweb&morf=-subject.html	(from https://archive.org/details/nlaweb)
16:42:15	92133/92133	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20May%202021%2006:42:17%20GMT	https://archive.org/details/nlaweb&morf=-creator	C:/My%20Web%20Sites/ArtOfWA/archive.org/nlaweb&morf=-creator.html	(from https://archive.org/details/nlaweb)
16:42:16	383993/383993	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20May%202021%2006:42:18%20GMT	https://archive.org/details/nlaweb?&sort=week	C:/My%20Web%20Sites/ArtOfWA/archive.org/nlaweba232.html	(from https://archive.org/details/nlaweb)
16:42:18	401335/401335	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20May%202021%2006:42:19%20GMT	https://archive.org/details/nlaweb?sort=-publicdate	C:/My%20Web%20Sites/ArtOfWA/archive.org/nlaweba4e1.html	(from https://archive.org/details/nlaweb)
16:42:19	394104/394104	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20May%202021%2006:42:20%20GMT	https://archive.org/details/nlaweb?sort=-reviewdate	C:/My%20Web%20Sites/ArtOfWA/archive.org/nlaweba63b.html	(from https://archive.org/details/nlaweb)
16:42:20	404719/404719	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20May%202021%2006:42:22%20GMT	https://archive.org/details/nlaweb?sort=creatorSorter	C:/My%20Web%20Sites/ArtOfWA/archive.org/nlaweb5f61.html	(from https://archive.org/details/nlaweb)
16:42:22	409812/409812	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20May%202021%2006:42:23%20GMT	https://archive.org/details/nlaweb2016	C:/My%20Web%20Sites/ArtOfWA/archive.org/nlaweb2016.html	(from https://archive.org/details/nlaweb)
16:42:24	409641/409641	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20May%202021%2006:42:25%20GMT	https://archive.org/details/nla_2015	C:/My%20Web%20Sites/ArtOfWA/archive.org/nla_2015.html	(from https://archive.org/details/nlaweb)
16:42:26	410612/410612	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20May%202021%2006:42:27%20GMT	https://archive.org/details/nlaweb2013	C:/My%20Web%20Sites/ArtOfWA/archive.org/nlaweb2013.html	(from https://archive.org/details/nlaweb)
16:42:28	401560/401560	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20May%202021%2006:42:29%20GMT	https://archive.org/details/nla_2014	C:/My%20Web%20Sites/ArtOfWA/archive.org/nla_2014.html	(from https://archive.org/details/nlaweb)
16:42:29	386500/386500	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20May%202021%2006:42:30%20GMT	https://archive.org/details/nla_2008	C:/My%20Web%20Sites/ArtOfWA/archive.org/nla_2008.html	(from https://archive.org/details/nlaweb)
16:42:29	374153/374153	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20May%202021%2006:42:31%20GMT	https://archive.org/details/nla_2007	C:/My%20Web%20Sites/ArtOfWA/archive.org/nla_2007.html	(from https://archive.org/details/nlaweb)
16:42:31	386291/386291	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20May%202021%2006:42:32%20GMT	https://archive.org/details/nla_2006	C:/My%20Web%20Sites/ArtOfWA/archive.org/nla_2006.html	(from https://archive.org/details/nlaweb)
